ID,Name,Age,Salary,Department,Years_of_Experience,Performance_Score
1,Person_1,56,102100,Marketing,8,4.78
2,Person_2,69,51487,Sales,32,4.36
3,Person_3,46,135048,HR,32,4.83
4,Person_4,32,137159,HR,39,3.09
5,Person_5,60,143489,HR,7,3.8
6,Person_6,25,83334,IT,12,4.8
7,Person_7,78,34459,Marketing,15,2.82
8,Person_8,38,42705,Marketing,11,2.66
9,Person_9,56,143209,HR,28,4.87
10,Person_10,75,43490,Finance,21,1.24
11,Person_11,36,83216,Sales,25,2.15
12,Person_12,40,78593,Marketing,27,3.72
13,Person_13,28,57026,Sales,26,3.07
14,Person_14,28,103775,IT,11,3.89
15,Person_15,41,83396,Marketing,22,2.41
16,Person_16,70,127308,IT,1,3.86
17,Person_17,53,53260,IT,14,1.16
18,Person_18,57,103749,Marketing,3,1.43
19,Person_19,41,108941,Sales,9,2.88
20,Person_20,20,118774,Marketing,26,1.97
21,Person_21,39,136068,HR,18,3.91
22,Person_22,70,114548,IT,28,1.98
23,Person_23,19,63162,IT,6,3.76
24,Person_24,41,106775,Sales,35,4.96
25,Person_25,61,113376,HR,39,2.22
26,Person_26,47,104552,Finance,3,4.89
27,Person_27,55,56098,Sales,22,3.36
28,Person_28,19,118106,Finance,13,3.18
29,Person_29,77,31493,HR,20,2.79
30,Person_30,38,34435,IT,4,4.02
31,Person_31,50,130817,HR,6,3.68
32,Person_32,29,98877,HR,14,4.18
33,Person_33,75,43262,Sales,36,2.04
34,Person_34,39,56061,IT,1,3.13
35,Person_35,78,86575,IT,35,4.53
36,Person_36,61,73020,IT,23,2.77
37,Person_37,42,95717,Marketing,33,3.28
38,Person_38,66,22765,HR,35,1.82
39,Person_39,44,112617,IT,29,3.75
40,Person_40,76,128759,Marketing,14,1.89
41,Person_41,59,86147,Sales,13,3.27
42,Person_42,45,30775,Marketing,2,1.37
43,Person_43,77,144678,Sales,11,3.37
44,Person_44,33,131024,Finance,11,4.12
45,Person_45,32,141790,HR,13,2.51
46,Person_46,79,117892,Marketing,35,3.96
47,Person_47,79,59469,Sales,25,2.32
48,Person_48,64,81679,Finance,1,3.65
49,Person_49,79,56839,IT,27,3.69
50,Person_50,68,131407,Finance,4,3.68
51,Person_51,61,142981,IT,23,3.8
52,Person_52,72,78008,Sales,26,1.38
53,Person_53,69,105034,HR,31,3.82
54,Person_54,74,37974,Finance,18,4.9
55,Person_55,20,125889,Sales,36,2.96
56,Person_56,54,38752,Sales,21,2.1
57,Person_57,68,66747,Sales,28,2.79
58,Person_58,24,51528,IT,7,4.5
59,Person_59,38,106428,HR,11,3.54
60,Person_60,26,78271,Finance,28,4.32
61,Person_61,56,130532,IT,8,1.42
62,Person_62,35,114241,HR,12,2.97
63,Person_63,21,136538,HR,27,1.49
64,Person_64,42,26893,IT,6,3.67
65,Person_65,77,135132,Finance,20,2.72
66,Person_66,31,48851,IT,23,2.28
67,Person_67,67,87390,HR,14,2.64
68,Person_68,75,70841,Finance,28,3.85
69,Person_69,26,69868,Sales,28,1.48
70,Person_70,43,58155,Sales,30,4.55
71,Person_71,70,44085,Marketing,36,3.99
72,Person_72,19,127464,Marketing,9,2.81
73,Person_73,37,106327,Sales,7,3.87
74,Person_74,45,56869,IT,8,3.17
75,Person_75,64,88131,Marketing,4,4.47
76,Person_76,77,28829,Marketing,18,2.49
77,Person_77,24,49129,Finance,7,4.65
78,Person_78,61,46340,IT,23,2.25
79,Person_79,78,42202,IT,0,2.7
80,Person_80,25,88154,IT,13,4.15
81,Person_81,64,23551,Finance,21,3.65
82,Person_82,52,46691,Marketing,5,2.22
83,Person_83,31,44371,Finance,24,2.51
84,Person_84,34,69271,Sales,33,1.18
85,Person_85,53,123363,HR,3,1.07
86,Person_86,67,115564,Sales,17,2.91
87,Person_87,57,127343,Sales,3,3.26
88,Person_88,21,70026,Marketing,16,2.62
89,Person_89,19,39378,Marketing,28,3.91
90,Person_90,79,145937,HR,25,1.33
91,Person_91,23,34681,Marketing,5,2.2
92,Person_92,71,124288,IT,27,4.41
93,Person_93,59,80660,Sales,34,4.77
94,Person_94,21,105571,HR,20,1.64
95,Person_95,71,74937,HR,2,2.91
96,Person_96,46,128360,Marketing,33,1.84
97,Person_97,35,119624,HR,31,2.22
98,Person_98,43,29930,HR,9,2.75
99,Person_99,61,115876,IT,27,2.28
100,Person_100,51,122324,Sales,0,3.52
101,Person_101,27,111045,HR,11,4.15
102,Person_102,79,22675,HR,25,1.64
103,Person_103,53,101887,HR,1,1.28
104,Person_104,31,113788,Finance,20,4.05
105,Person_105,48,39045,IT,6,1.88
106,Person_106,65,82823,Sales,31,1.14
107,Person_107,32,62331,Finance,21,2.76
108,Person_108,25,41940,HR,8,2.53
109,Person_109,31,142327,Marketing,25,3.57
110,Person_110,40,67031,HR,5,2.04
111,Person_111,77,36658,IT,39,4.1
112,Person_112,74,63637,HR,24,3.84
113,Person_113,79,105056,Marketing,19,2.82
114,Person_114,57,85604,Finance,5,1.16
115,Person_115,38,104694,IT,26,2.26
116,Person_116,33,57172,Finance,5,4.25
117,Person_117,62,136882,Marketing,12,2.56
118,Person_118,35,28769,Sales,29,4.02
119,Person_119,64,51227,Finance,28,3.77
120,Person_120,70,57039,Finance,38,3.61
121,Person_121,41,100449,HR,1,3.83
122,Person_122,43,95976,IT,8,4.02
123,Person_123,42,133681,IT,6,3.46
124,Person_124,77,105327,Sales,31,4.29
125,Person_125,77,34118,Sales,32,4.32
126,Person_126,77,129694,Finance,24,4.89
127,Person_127,62,59624,Sales,38,2.38
128,Person_128,58,101387,IT,23,2.03
129,Person_129,46,124062,IT,21,2.35
130,Person_130,32,29366,Finance,36,1.41
131,Person_131,62,119488,Finance,4,4.01
132,Person_132,18,50907,Marketing,18,2.37
133,Person_133,42,69381,IT,14,2.68
134,Person_134,24,92634,Sales,26,2.3
135,Person_135,26,140417,Marketing,16,2.47
136,Person_136,41,62905,HR,0,2.51
137,Person_137,18,73136,Sales,33,1.64
138,Person_138,61,45780,HR,30,3.29
139,Person_139,25,127341,Marketing,19,4.48
140,Person_140,41,23788,IT,17,3.18
141,Person_141,28,33781,IT,31,4.68
142,Person_142,68,126922,HR,16,2.51
143,Person_143,34,91471,IT,36,1.24
144,Person_144,25,129649,Finance,7,1.72
145,Person_145,52,29619,Marketing,34,1.0
146,Person_146,52,45053,Sales,27,2.11
147,Person_147,50,54722,Marketing,18,4.12
148,Person_148,76,86592,HR,19,4.46
149,Person_149,22,131341,HR,32,1.33
150,Person_150,59,22640,IT,7,4.56
151,Person_151,56,121218,HR,31,2.71
152,Person_152,75,72683,Sales,34,3.74
153,Person_153,58,118817,Marketing,21,3.56
154,Person_154,45,113601,Sales,35,2.66
155,Person_155,24,24427,Marketing,37,2.1
156,Person_156,26,101497,IT,23,1.34
157,Person_157,25,85149,HR,33,4.03
158,Person_158,29,111551,Marketing,33,3.01
159,Person_159,51,86068,Finance,7,2.16
160,Person_160,50,46628,Finance,24,2.92
161,Person_161,65,100155,Finance,16,4.88
162,Person_162,72,122230,Finance,38,4.05
163,Person_163,40,98127,Sales,26,1.06
164,Person_164,79,121215,HR,30,2.27
165,Person_165,41,39652,Marketing,21,4.24
166,Person_166,54,119581,Finance,2,2.79
167,Person_167,52,135554,Finance,3,4.52
168,Person_168,61,126233,Marketing,23,2.46
169,Person_169,57,47461,IT,17,2.42
170,Person_170,39,74866,Sales,35,3.68
171,Person_171,44,68875,Sales,34,1.52
172,Person_172,52,50887,HR,15,4.44
173,Person_173,18,144933,Finance,19,2.4
174,Person_174,52,48813,HR,9,1.32
175,Person_175,54,65430,HR,2,4.64
176,Person_176,64,148124,HR,10,2.35
177,Person_177,31,35682,HR,27,1.55
178,Person_178,20,75690,Marketing,28,2.17
179,Person_179,18,115398,Marketing,10,4.08
180,Person_180,22,58568,Marketing,16,1.04
181,Person_181,43,25143,HR,15,1.77
182,Person_182,72,46282,Finance,12,2.74
183,Person_183,31,54924,Sales,10,3.86
184,Person_184,56,95985,Finance,36,2.0
185,Person_185,44,149630,HR,27,4.51
186,Person_186,26,45801,IT,12,2.47
187,Person_187,32,95161,Marketing,11,4.5
188,Person_188,32,76092,Finance,20,2.34
189,Person_189,43,22049,Marketing,4,4.56
190,Person_190,59,95549,Finance,30,4.69
191,Person_191,77,96518,IT,13,4.42
192,Person_192,30,71965,Finance,6,1.03
193,Person_193,68,70286,Marketing,13,2.61
194,Person_194,49,93289,IT,13,4.44
195,Person_195,56,75371,Marketing,38,3.96
196,Person_196,66,34547,Sales,28,4.94
197,Person_197,69,54744,HR,16,3.27
198,Person_198,78,101525,Sales,39,3.74
199,Person_199,49,127752,HR,1,3.34
200,Person_200,21,145114,HR,13,4.95
201,Person_201,47,115506,Sales,1,4.98
202,Person_202,54,149333,IT,5,3.16
203,Person_203,40,88549,HR,27,4.17
204,Person_204,56,123287,Finance,10,1.04
205,Person_205,62,98034,Sales,25,2.81
206,Person_206,32,108414,Finance,2,2.96
207,Person_207,60,107840,IT,6,3.61
208,Person_208,46,137057,IT,33,4.48
209,Person_209,53,69358,Sales,33,2.87
210,Person_210,30,146858,Finance,16,4.87
211,Person_211,49,78457,Marketing,3,2.72
212,Person_212,24,100529,HR,5,2.13
213,Person_213,76,24160,Marketing,36,2.37
214,Person_214,68,42943,Marketing,38,3.68
215,Person_215,39,70174,Sales,32,1.18
216,Person_216,45,99747,Marketing,5,1.78
217,Person_217,19,76917,Marketing,12,2.82
218,Person_218,59,148291,HR,4,3.22
219,Person_219,62,22524,IT,16,3.33
220,Person_220,79,69123,HR,13,4.71
221,Person_221,74,67098,HR,22,1.12
222,Person_222,70,95192,Sales,36,1.03
223,Person_223,23,143249,IT,32,3.57
224,Person_224,45,80064,Finance,8,4.91
225,Person_225,45,67846,Finance,33,4.56
226,Person_226,61,112813,Marketing,32,2.58
227,Person_227,61,106447,Sales,6,4.11
228,Person_228,37,145166,IT,16,4.7
229,Person_229,47,57156,Sales,36,3.63
230,Person_230,79,91916,IT,38,1.66
231,Person_231,28,108708,IT,2,3.96
232,Person_232,75,103761,HR,7,1.49
